step,loss
50,0.7349
100,0.2769
150,0.1059
200,0.0571
250,0.0483
300,0.0437
350,0.0400
400,0.0386
450,0.0385
500,0.0384
550,0.0352
600,0.0340
650,0.0324
700,0.0344
750,0.0331
800,0.0342
850,0.0338
900,0.0319
950,0.0314
1000,0.0304
