step,loss
50,0.7529
100,0.3057
150,0.1371
200,0.0861
250,0.0761
300,0.0704
350,0.0646
400,0.0628
450,0.0621
500,0.0617
550,0.0574
600,0.0559
650,0.0541
700,0.0559
750,0.0544
800,0.0556
850,0.0551
900,0.0526
950,0.0523
1000,0.0510
