step,loss
50,0.7932
100,0.3678
150,0.2032
200,0.1493
250,0.1377
300,0.1254
350,0.1164
400,0.1135
450,0.1110
500,0.1071
550,0.1013
600,0.0997
650,0.0954
700,0.0980
750,0.0941
800,0.0961
850,0.0935
900,0.0896
950,0.0884
1000,0.0863
