label,bits,group,ppl,mmlu,mmlu_lo,mmlu_hi,mb,eff_bits,quant_s,total_s
fp16,16,-1,22.449804306030273,0.4502923976608187,0.3776290550831713,0.5251400799510539,988.065536,16.0,0.0,81.71531891822815
INT8 RTN,8,-1,22.49367332458496,0.4502923976608187,0.3776290550831713,0.5251400799510539,630.238979,8.0000000670716,1.4193248748779297,78.80555558204651
INT4 RTN,4,128,27.10161781311035,0.3567251461988304,0.28879679791250346,0.43094953248026346,458.314496,4.15625,2.000493049621582,81.85408854484558
INT4 GPTQ,4,128,26.209928512573242,0.30994152046783624,0.24543895980212116,0.3827959682699166,458.314496,4.15625,143.06118845939636,224.44671320915222
INT4 AWQ,4,128,25.336484909057617,0.40350877192982454,0.3328765728547405,0.4783811598587556,458.314496,4.15625,53.86254596710205,145.78080916404724
