step,loss
50,0.8471
100,0.5190
150,0.3044
200,0.1888
250,0.1308
300,0.1073
350,0.0958
400,0.0827
450,0.0798
500,0.0751
550,0.0706
600,0.0678
650,0.0636
700,0.0610
750,0.0598
800,0.0570
850,0.0591
900,0.0553
950,0.0553
1000,0.0544
1050,0.0509
1100,0.0513
1150,0.0530
1200,0.0518
1250,0.0501
1300,0.0496
1350,0.0454
1400,0.0459
1450,0.0467
1500,0.0464
