mode,strict,lenient,content,name,age,city,ms_per_token,mask_ms_per_token,tokens,wall
free,0.0,0.7,1.0,1.0,1.0,1.0,135.08992572265342,0.0,31.233333333333334,126.57926040212624
constrained,1.0,1.0,0.9222222222222223,1.0,0.7666666666666667,1.0,153.47067485902056,1.3884208923903176,22.233333333333334,102.36494013096672
