n_tokens,naive_s,cached_s,speedup
32,0.1120,0.0838,1.3365
64,0.2455,0.1792,1.3697
128,0.6242,0.3508,1.7792
256,1.7252,0.7435,2.3204
384,3.3328,1.1086,3.0063
