label,ppl,mmlu
bf16 baseline,22.449804306030273,0.4502923976608187
E4M3 weights,22.62642478942871,0.4444444444444444
E4M3 weights + activations,22.8647518157959,0.43859649122807015
E4M3 weights + acts + KV cache,23.798673629760742,0.42105263157894735
E5M2 weights (fewer mantissa bits),23.102888107299805,0.4152046783625731
"E4M3 weights, NO scale",23.100448608398438,0.4678362573099415
"E4M3 weights + acts, NO scale",23.06209373474121,0.45614035087719296
