step,loss
50,1.0360
100,0.4881
150,0.3955
200,0.3564
250,0.3477
300,0.3329
350,0.3214
400,0.3117
450,0.3053
500,0.2979
550,0.2902
600,0.2819
650,0.2809
700,0.2767
750,0.2717
800,0.2739
850,0.2661
900,0.2645
950,0.2567
1000,0.2634
1050,0.2583
1100,0.2561
1150,0.2533
1200,0.2516
