stage,ndcg@10,recall@1,recall@3,recall@5,EM,F1,ms_per_query
bi-encoder,0.845,0.733,0.877,0.920,0.670,0.741,2.4
+ reranker,0.928,0.887,0.950,0.953,0.707,0.782,520.0
