step,loss
50,0.7430
100,0.2770
150,0.1048
200,0.0599
250,0.0486
300,0.0455
350,0.0416
400,0.0404
450,0.0372
500,0.0371
550,0.0358
600,0.0352
650,0.0338
700,0.0346
750,0.0338
800,0.0324
850,0.0344
900,0.0311
950,0.0332
1000,0.0316
