step,loss
50,1.4164
100,0.9538
150,0.7889
200,0.5872
250,0.4062
300,0.3295
350,0.2841
400,0.2658
450,0.2524
500,0.2432
550,0.2390
600,0.2340
650,0.2337
700,0.2258
750,0.2226
800,0.2171
850,0.2192
900,0.2187
950,0.2146
1000,0.2158
1050,0.2125
1100,0.2124
1150,0.2120
1200,0.2100
