name,acc,params,ms,retention
teacher (0.8M),0.942,788736,1.1934847405427718,1.0
hard labels,0.446,25088,0.5297447406519495,0.47346072186836524
logit KD (T=1),0.742,25088,0.5460862187646853,0.7876857749469215
logit KD (T=2),0.206,25088,0.5269892782052921,0.21868365180467092
sequence KD,0.672,25088,0.5356738249247428,0.713375796178344
hard labels (only 128),0.102,25088,0.5500612844116404,0.10828025477707007
